review_id,category,parent_asin,rating,title,text,timestamp,label,generator
Pet_Supplies_AHGX5BERFCHHW2JAXXMA4TXZFLXA_1441506100000,Pet_Supplies,B01J9QQOD2,1.0,Dog collar gone bad,I was so disappointed in this collar. I bought the largest one and it was soooooo small that it would have only had fit a toy breed. So I attached it to her collar and the first time she shook her head most the spangles fell off. Not worth the money.,1441506100000.0,0,human
deepseek_0718096312_42,Books,0718096312,5.0,Full of wisdom!,This book is packed with profound insights that genuinely shift your perspective. I find myself returning to passages again and again. Highly recommended.,,1,deepseek
Pet_Supplies_AF2DGP5RWSCPU2UDUDYIDCOYNLAA_1669248417764,Pet_Supplies,B07HCDJYQN,4.0,almost right,"slot for leash attachment is miniscule. I  attach a harness over the jacket. Otherwise, It is a good fit for Bullys .Size  xxl for my 44lb. male. Size xl for 34 lb. female. I wish the smaller one was longer.",1669248417764.0,0,human
deepseek_B07YXP1RBB_42,Electronics,B07YXP1RBB,5.0,"Good night vision, A+ picture quality, easily installed",Bought this camera delivers exceptional night vision and crystal-clear picture quality. Installation was a breeze—I had it set up in minutes. Very impressed with the performance and value. Highly recommended for anyone needing reliable home security.,,1,deepseek
Pet_Supplies_AGP73XFAYRJ4RLHP3FA7TOUCDBRA_1601293932642,Pet_Supplies,B01EVK27UU,5.0,My hamster loves these.,My hamster always eats these up. I'll put one in his cage and the next day it is about gone. Its a nice treat for him and I would like to try some other flavors if I can find them in stock.,1601293932642.0,0,human
All_Beauty_AHQTT3ZHLVQQUGXBORTSAVMAD4OA_1482457487000,All_Beauty,B01DNIZMVC,5.0,I LOVE THIS WIG!,I LOVE This Wig! It is the best one yet that I've gotten from amazon Came as it said an looks just like the picture! THIS is amazing an you won't regret it ♡,1482457487000.0,0,human
All_Beauty_AHY5D6EI2BDZY6UWQBHYGEWUQFPQ_1564340577199,All_Beauty,B07CNL2KQP,5.0,Great,Great toothbrushes for a more green switch! Numbered so you can easily tell whose is whose if you live with more than one person!,1564340577199.0,0,human
All_Beauty_AHN45U3ZN3CCHQRQJEOSWRA5B3OA_1611159432558,All_Beauty,B08HGZXLP6,5.0,Great spray bottles,Very pleased with these glass bottles. Just what I need to create sprays using essential oils for cleaning as well as sprays for my fur babies. Great!,1611159432558.0,0,human
qwen_B00P57J2TS_42,Toys_and_Games,B00P57J2TS,5.0,So much fun for my 3 yr old ... and myself !,"My three-year-old loves this toy. It keeps them entertained for hours. Even I find myself playing along. It is high quality, durable, and genuinely brings our family together for happy memories. Worth every penny.",,1,qwen
qwen_B07547VGQQ_42,Office_Products,B07547VGQQ,5.0,GREAT TONER!,This toner cartridge works perfectly. The print quality is sharp and clear. It fits easily into my printer. I am very satisfied with this purchase and will buy it again when I need more ink.,,1,qwen
Office_Products_AHNGXLLCC3FJCNNOMP5UU67DKLSQ_1600340285328,Office_Products,B07ZSFM8RC,1.0,Small,The quality of this product is great but the size was way smaller than I expected it to be other than that I would recommend it.,1600340285328.0,0,human
gpt5mini_B07D3WRJ2K_42,Electronics,B07D3WRJ2K,3.0,Not a winner.,"Decent build and works as advertised, but audio quality is just average and battery life falls short of claims. Okay for casual use, but not worth a premium price.",,1,gpt5mini
Toys_and_Games_AHZJTITGLFTTKOZPJTWC7RTAPAPQ_1575345635285,Toys_and_Games,B07JMXSR3V,1.0,Dissatisfied,Not happy with appearance of the box.  Ends have been taped.  There are some creases on the box.  Appearance doesn't appear to be NEW  It is a gift.,1575345635285.0,0,human
Electronics_AF5SM4XDTN3VWP4ROZC4WKMW3MYQ_1449801837000,Electronics,B0052T66CK,2.0,Strap connection to bag is weak,Within a few weeks the shoulder strap detached from the bag on one side.  Now I have to figure out where to get it fixed.  Is there a chance I can get this replaced as it was obviously a design flaw.  Too many stitches at connection apparently made for a weak connection.,1449801837000.0,0,human
deepseek_B08BJXNTRW_42,Office_Products,B08BJXNTRW,1.0,horrible,"Bought this for my home office. It broke within a week. Cheap plastic, terrible design. Complete waste of money.",,1,deepseek
gpt5mini_B081HY6186_42,Home_and_Kitchen,B081HY6186,2.0,It’s not what I expected,"I wanted to like this, but it wasn’t what I expected. The photos made it look sturdier and more substantial; in person it feels flimsier and the finish is uneven in a couple of spots. Assembly was easier than I feared, but the pieces don’t fit as snugly as I’d hoped, so there’s a bit of wobble. It functions okay for light use, but I wouldn’t trust it for heavy or daily wear. Decent for the price if you have low expectations, but I’m disappointed.",,1,gpt5mini
deepseek_B07GZQD3CH_42,Sports_and_Outdoors,B07GZQD3CH,5.0,well made,"I've had this for a few months now and it's held up perfectly through tough hikes and daily use. The stitching is solid, materials feel premium, and nothing has broken or frayed. For the price, the build quality far exceeds expectations. Highly recommend for anyone wanting durable outdoor gear.",,1,deepseek
